Index,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Summation
43,2,2,4,1,1,5,7,0,0,6,0,0,1,29
44,4,2,3,1,0,4,3,0,6,0,0,1,0,24
45,0,5,3,1,0,4,6,2,0,5,1,0,1,28
46,4,4,1,1,1,3,4,2,6,3,1,1,1,32
47,3,3,2,1,0,3,3,1,0,3,1,0,1,21
48,5,4,0,0,0,2,4,2,5,3,1,1,1,28
49,2,4,3,1,0,4,5,0,5,0,0,1,0,25
50,3,4,2,0,0,3,3,1,0,2,1,0,1,20
51,6,3,0,0,0,3,3,0,6,0,0,1,0,22
52,5,3,2,0,0,3,1,2,0,3,1,0,1,21
53,3,3,3,1,0,4,2,0,0,3,0,0,1,20
54,4,3,2,2,0,4,6,1,0,2,1,0,2,27
55,0,2,7,0,0,4,3,2,6,4,1,1,1,31
56,0,4,5,0,0,4,5,2,6,4,1,1,1,33
57,3,5,2,0,0,3,6,0,5,0,0,1,0,25
58,2,4,4,0,0,4,7,2,0,4,1,0,1,29
59,5,3,2,0,0,3,5,0,0,0,0,0,0,18
60,2,2,2,4,1,6,2,2,0,1,1,0,1,24
61,5,3,2,0,0,3,2,0,6,0,0,1,0,22
62,3,4,2,1,1,3,3,0,6,3,0,1,1,28
63,0,2,3,2,3,8,6,0,0,0,0,0,0,24
64,4,4,2,0,0,3,3,0,0,0,0,0,0,16
65,6,3,0,2,0,3,6,2,6,2,1,1,1,33
66,0,6,3,0,0,4,3,2,6,4,1,1,1,31
67,2,5,2,1,0,3,3,0,0,0,0,0,0,16
68,0,5,4,0,0,4,6,2,6,4,1,1,1,34
69,0,7,2,0,0,4,3,0,0,0,0,0,0,16
70,1,8,0,0,0,3,3,0,0,0,0,0,0,15
71,4,5,0,0,0,3,4,0,0,0,0,0,0,16
72,4,4,2,1,0,3,1,0,0,3,0,0,1,19
73,2,3,4,1,0,4,1,0,0,3,0,0,1,19
74,0,5,4,0,0,4,7,2,6,4,1,1,1,35
75,1,0,5,3,0,6,6,2,6,4,1,1,1,36
76,2,4,4,0,0,4,6,0,6,0,0,1,0,27
77,4,4,1,0,0,3,4,0,0,0,0,0,0,16
78,0,5,4,0,0,5,6,2,0,3,1,0,1,27
79,3,3,4,0,0,4,6,0,0,0,0,0,0,20
80,1,3,6,1,0,5,6,0,6,0,0,1,0,29
81,0,5,4,0,0,4,6,2,0,4,1,0,1,27
82,5,5,0,0,0,3,6,0,6,0,0,1,0,26
83,1,0,3,5,0,8,8,2,6,0,1,1,0,35
84,0,4,5,0,0,4,4,0,0,3,0,0,1,21
85,4,2,4,0,0,3,3,0,6,0,0,1,0,23
86,3,5,1,1,0,3,4,2,6,4,1,2,1,33
87,3,3,3,2,0,5,8,2,0,1,1,0,1,29
88,0,5,4,0,0,4,5,2,6,4,1,1,1,33
89,4,3,3,0,0,3,3,0,0,0,0,0,0,16
90,0,7,2,0,0,4,4,2,0,2,1,0,1,23
91,0,6,0,3,0,5,4,0,0,0,0,0,0,18
92,0,0,9,0,0,5,7,2,6,4,1,1,1,36
93,0,4,5,0,0,4,6,2,0,4,1,0,1,27
94,2,5,2,1,0,4,1,2,5,1,1,1,1,26
95,1,3,3,2,0,6,5,1,6,4,1,1,2,35
96,0,0,7,2,0,6,6,0,0,0,0,0,0,21
97,3,4,3,1,0,3,5,0,6,4,0,1,1,31
98,0,5,4,0,0,5,4,0,0,0,0,0,0,18
99,2,5,3,0,0,4,3,0,0,0,0,0,0,17
100,5,3,1,1,0,3,2,2,0,2,1,0,1,21
101,3,5,2,1,0,3,3,0,5,0,0,1,0,23
102,0,6,3,0,0,4,8,0,0,0,0,0,0,21
103,0,6,3,0,0,4,3,2,0,3,1,0,1,23
104,3,5,1,1,0,3,6,2,5,4,1,1,1,33
105,2,2,3,3,0,5,4,0,6,0,0,2,0,27
106,5,4,0,0,0,2,2,2,6,2,1,1,1,26
107,0,0,9,0,0,6,6,0,5,0,0,1,0,27
108,2,3,3,3,0,5,4,2,0,2,1,0,1,26
109,4,5,0,0,0,3,4,0,6,3,0,1,1,27
110,0,4,5,0,0,4,3,2,6,4,1,1,1,31
111,1,3,4,3,1,5,7,2,0,0,1,0,0,27
112,5,2,3,0,0,3,3,2,0,1,1,0,1,21
113,2,5,3,0,0,3,3,0,6,0,0,1,0,23
114,0,4,4,1,1,6,6,0,6,0,0,1,0,29
115,0,5,4,0,0,4,3,0,0,0,0,0,0,16
116,7,2,1,0,0,2,3,0,6,0,0,1,0,22
117,2,5,2,0,0,3,6,2,6,4,1,2,1,34
118,0,0,9,0,0,4,3,0,0,3,0,0,1,20
119,0,0,9,0,0,4,7,2,0,0,1,0,0,23
120,6,2,2,0,0,2,3,0,6,0,0,1,0,22
121,5,3,1,1,0,3,5,0,0,1,0,0,1,20
122,0,4,5,0,0,4,5,0,6,0,0,1,0,25
123,0,5,4,0,0,4,6,0,0,5,0,0,1,25
124,1,5,3,0,0,3,4,0,6,0,0,2,0,24
125,0,4,5,0,0,4,8,2,6,4,1,1,1,36
126,6,3,0,0,0,2,2,0,6,0,0,1,0,20
127,3,3,3,1,0,3,3,2,6,0,1,1,0,26
128,0,3,6,0,0,4,6,2,6,4,1,1,1,34
129,5,3,2,0,0,3,1,2,6,2,1,1,1,27
130,6,2,1,0,1,3,3,0,6,0,0,1,0,23
131,1,2,7,0,0,5,7,0,0,0,0,0,0,22
132,3,4,3,1,0,3,4,0,6,0,0,2,0,26
133,5,4,1,1,0,3,4,0,5,0,0,1,0,24
134,5,2,0,2,0,4,7,0,0,0,0,0,0,20
135,0,3,6,0,0,5,6,0,0,0,0,0,0,20
136,3,2,3,2,1,5,3,2,0,3,1,0,1,26
137,3,3,3,0,1,4,3,2,6,3,1,1,1,31
138,3,3,3,0,0,3,3,2,0,0,1,0,0,18
139,3,3,3,2,0,5,8,1,0,2,1,0,1,29
140,0,3,3,4,1,6,6,0,0,0,0,0,0,23
141,3,3,3,1,1,3,1,2,0,2,1,0,1,21
142,2,4,4,1,0,4,6,0,6,0,0,2,0,29
143,0,1,6,3,0,6,6,2,0,4,1,0,1,30
144,4,2,4,0,0,3,4,2,0,3,1,0,1,24
145,1,6,3,0,0,4,3,0,5,0,0,1,0,23
146,3,6,1,0,0,3,3,0,0,0,0,0,0,16
147,2,5,3,0,0,3,1,0,0,0,0,0,0,14
148,0,2,4,1,3,8,7,0,0,0,0,0,0,25
149,1,6,3,0,0,3,3,0,0,6,0,0,1,23
150,0,5,4,0,0,4,7,0,6,0,0,1,0,27
151,1,3,5,1,1,5,7,0,0,0,0,0,0,23
152,2,4,4,1,0,5,6,0,0,3,0,0,1,26
153,6,3,1,0,0,2,4,0,0,0,0,0,0,16
154,4,5,1,0,0,3,7,0,6,2,0,1,1,30
155,2,4,4,0,0,4,8,0,0,0,0,0,0,22
156,2,3,1,3,2,6,4,0,0,3,0,0,1,25
157,3,2,4,0,0,4,8,2,6,4,1,1,1,36
158,1,4,4,1,0,4,5,0,0,4,0,0,1,24
159,8,1,1,0,0,2,1,0,5,0,0,1,0,19
160,2,4,3,1,0,4,5,0,5,2,0,1,1,28
161,4,4,1,0,0,3,2,2,5,0,1,1,0,23
162,2,3,2,4,0,6,4,2,7,2,1,2,1,36
163,3,6,0,0,0,2,1,0,5,0,0,1,0,18
164,0,1,8,0,0,5,3,0,0,0,0,0,0,17
165,2,2,3,3,0,5,4,0,6,6,0,1,2,34
166,7,2,0,0,0,2,5,0,5,4,0,1,1,27
167,2,5,2,2,0,4,3,0,0,2,0,0,1,21
168,4,2,3,1,2,5,5,0,5,0,0,1,0,28
169,0,0,4,5,0,7,5,0,0,3,0,0,1,25
170,2,3,4,0,0,4,4,0,5,0,0,1,0,23
171,3,4,2,0,0,3,4,0,0,0,0,0,0,16
172,3,5,1,1,0,3,6,2,6,4,1,1,1,34
173,2,4,3,2,0,4,4,0,6,5,0,1,1,32
174,0,2,7,0,0,4,3,2,0,4,1,0,1,24
175,2,5,2,2,0,4,6,0,0,3,0,0,1,25
176,0,7,2,0,0,3,3,2,6,4,1,1,1,30
177,1,3,5,1,1,5,4,2,0,3,1,0,1,27
178,0,1,6,3,1,6,7,0,0,0,0,0,0,24
179,4,4,2,0,1,3,3,0,6,1,0,1,1,26
180,3,4,4,0,0,4,4,0,6,6,0,1,1,33
181,0,3,4,3,0,5,8,0,0,3,0,0,1,27
182,2,5,2,2,0,4,4,2,0,3,1,0,1,26
183,2,7,0,0,0,3,8,2,6,4,1,1,1,35
184,0,9,0,0,0,3,6,2,6,4,1,1,1,33
185,3,3,3,0,1,4,3,0,6,0,0,1,0,24
186,5,3,1,1,0,2,1,2,0,1,1,0,1,18
187,0,7,0,2,0,4,4,0,0,0,0,0,0,17
188,3,2,3,2,0,4,3,2,6,4,1,1,1,32
189,3,3,3,2,1,4,4,0,0,5,0,0,1,26
190,1,3,5,1,0,4,6,0,0,0,0,0,0,20
191,1,3,4,3,0,7,3,2,0,2,1,0,1,27
192,0,3,3,4,0,7,3,0,6,0,0,1,0,27
193,5,4,0,0,0,3,1,0,6,0,0,1,0,20
194,3,5,2,0,0,3,6,0,6,0,0,1,0,26
195,3,4,2,2,0,4,3,0,6,0,0,1,0,25
196,3,4,3,1,0,4,5,0,6,0,0,1,0,27
197,4,5,0,0,0,3,4,0,0,2,0,0,1,19
198,0,9,0,0,0,3,5,0,0,0,0,0,0,17
199,2,5,2,0,0,3,5,0,0,0,0,0,0,17
200,2,4,4,0,0,4,3,2,5,0,1,1,0,26
201,2,6,2,0,0,3,2,0,0,0,0,0,0,15
202,5,0,4,0,0,2,5,0,6,0,0,1,0,23
203,0,2,5,3,1,6,8,2,6,0,1,1,0,35
204,3,2,4,1,0,4,5,0,6,3,0,1,1,30
205,0,4,5,0,0,5,7,0,5,3,0,1,1,31
206,0,8,0,1,0,3,4,0,0,3,0,0,1,20
207,2,4,3,0,1,5,2,0,8,4,0,7,1,37
208,5,3,2,0,0,3,6,0,0,0,0,0,0,19
209,8,1,1,0,0,2,3,0,0,4,0,0,1,20
210,2,2,5,1,0,4,4,0,6,0,0,1,0,25
211,3,2,5,0,0,4,2,2,6,0,1,1,0,26
212,4,5,0,0,0,2,3,0,6,3,0,1,1,25
213,2,4,3,1,0,4,4,0,5,0,0,1,0,24
214,3,3,4,0,0,4,3,0,6,0,0,1,0,24
215,0,6,3,0,0,4,3,1,6,4,1,1,1,30
216,2,5,3,0,0,3,3,0,6,6,0,1,3,32
217,4,0,3,3,0,4,3,2,0,0,1,0,0,20
218,3,2,4,0,0,4,8,2,0,4,1,0,1,29
219,0,3,6,0,0,4,6,0,0,0,0,0,0,19
220,3,2,3,2,0,4,5,0,0,0,0,0,0,19
221,1,8,0,0,0,4,1,2,6,3,1,1,1,28
222,3,4,3,0,0,3,2,0,0,0,0,0,0,15
223,0,4,5,0,0,4,3,3,6,5,2,2,1,35
224,6,3,1,0,0,2,3,0,0,0,0,0,0,15
225,4,3,2,1,0,3,2,0,0,0,0,0,0,15
226,2,3,1,3,2,6,4,1,0,3,1,0,1,27
227,2,0,4,4,0,7,8,2,6,4,1,1,1,40
228,5,4,1,0,0,2,6,2,6,4,1,1,1,33
229,5,2,2,1,1,3,4,0,0,0,0,0,0,18
230,3,3,3,1,0,3,3,0,0,0,0,0,0,16
231,3,2,4,1,0,3,6,0,0,2,0,0,1,22
232,0,4,5,0,0,5,7,2,6,0,1,1,0,31
233,2,3,3,2,1,5,3,0,6,0,0,1,0,26
234,9,0,0,0,0,1,1,0,0,0,0,0,0,11
235,0,9,0,0,0,3,4,0,0,0,0,0,0,16
236,1,4,4,1,0,5,7,2,6,0,1,1,0,32
237,0,5,4,0,0,4,1,0,0,0,0,0,0,14
238,5,2,3,0,0,3,5,2,5,4,1,1,1,32
239,4,1,0,4,0,5,5,0,5,0,0,1,0,25
240,1,3,4,3,1,5,7,0,6,3,0,1,1,35
241,2,3,4,2,1,5,7,2,6,4,1,1,1,39
242,2,3,3,2,0,5,8,1,0,3,1,0,1,29
243,6,3,0,0,0,2,3,0,0,0,0,0,0,14
244,2,5,2,0,0,3,5,0,6,0,0,1,0,24
245,0,4,5,0,0,4,5,2,0,3,1,0,1,25
246,0,0,7,2,0,6,4,2,6,4,1,1,1,34
247,0,1,4,5,1,7,8,2,6,4,1,1,1,41
248,3,4,2,2,0,4,3,0,0,0,0,0,0,18
249,2,5,3,0,0,3,3,0,0,0,0,0,0,16
250,7,2,0,0,0,2,3,2,6,4,1,1,1,29
251,4,4,1,1,1,3,5,1,0,0,1,0,0,21
252,0,0,7,2,0,6,6,0,5,0,0,1,0,27
253,4,5,1,1,0,2,1,0,0,2,0,0,1,17
254,4,4,2,1,0,4,4,0,6,0,0,2,0,27
255,1,7,2,0,0,4,3,2,6,3,1,1,1,31
256,3,4,2,0,0,3,5,2,6,4,1,1,1,32
257,6,3,1,0,0,2,3,2,5,2,1,1,1,27
258,6,2,1,0,0,2,1,2,6,3,1,1,1,26
259,4,2,3,1,2,5,5,2,0,4,1,0,1,30
260,1,4,4,1,0,4,3,2,0,4,1,0,1,25
261,5,0,0,4,0,5,6,0,0,0,0,0,0,20
262,0,3,6,0,0,5,8,0,0,0,0,0,0,22
263,1,1,4,4,1,6,5,0,6,0,0,1,0,29
264,5,4,0,0,0,3,6,2,6,3,1,2,1,33
265,5,1,1,3,1,4,3,0,0,3,0,0,1,22
266,1,3,5,0,0,4,4,0,0,3,0,0,1,21
267,3,3,3,1,0,4,3,2,0,5,1,0,1,26
268,6,2,2,1,0,3,1,2,0,1,1,0,1,20
269,2,3,4,2,1,5,8,2,6,3,1,1,1,39
270,2,4,4,1,0,4,4,0,5,0,0,1,0,25
271,0,4,5,0,0,4,3,0,0,0,0,0,0,16
272,2,4,4,0,0,3,3,2,6,4,1,1,1,31
273,2,5,2,2,0,4,3,2,6,3,1,1,1,32
274,3,3,2,2,0,4,1,2,6,0,1,1,0,25
275,2,3,3,2,1,5,8,0,0,0,0,0,0,24
276,6,3,0,0,0,2,3,2,0,4,1,0,1,22
277,6,2,1,0,0,3,4,0,0,0,0,0,0,16
278,4,5,1,0,0,2,2,0,0,0,0,0,0,14
279,3,4,3,0,0,3,2,1,6,2,1,1,1,27
280,3,4,3,1,0,3,4,0,0,0,0,0,0,18
281,0,7,0,2,0,4,2,0,0,0,0,0,0,15
282,4,4,2,0,0,3,7,0,6,3,0,1,1,31
283,4,3,3,1,0,3,6,0,0,0,0,0,0,20
284,3,3,3,0,0,3,3,2,6,4,1,1,1,30
285,0,0,9,0,0,5,4,0,5,0,0,1,0,24
286,4,4,1,2,0,4,4,0,6,0,0,1,0,26
287,2,5,3,0,0,4,6,2,6,3,1,1,1,34
288,4,2,4,0,0,3,6,0,0,3,0,0,1,23
289,2,5,2,0,0,3,3,1,6,4,1,1,1,29
290,3,4,2,0,0,3,4,0,0,1,0,0,1,18
291,0,5,4,0,0,4,6,0,0,0,0,0,0,19
292,3,2,0,4,0,6,4,0,0,6,0,0,2,27
293,6,1,3,0,0,3,2,0,5,0,0,1,0,21
294,3,2,3,3,0,5,6,0,0,0,0,0,0,22
295,0,0,9,0,0,6,6,0,0,6,0,0,1,28
296,6,2,1,0,1,3,3,2,0,2,1,0,1,22
297,0,7,0,2,0,4,2,0,6,2,0,1,1,25
298,1,2,4,3,1,6,7,2,0,4,1,0,1,32
299,7,2,0,0,0,2,1,2,5,2,1,1,1,24
300,0,8,0,1,0,3,4,0,5,3,0,1,1,26
301,3,5,2,0,0,3,3,0,0,2,0,0,1,19
302,2,3,4,2,1,5,7,2,0,4,1,0,1,32
303,3,5,2,1,1,3,5,0,5,0,0,1,0,26
304,1,5,2,0,2,6,3,0,0,3,0,0,2,24
305,3,2,3,2,1,4,3,0,0,0,0,0,0,18
306,2,4,4,0,0,4,3,0,0,0,0,0,0,17
307,6,2,2,0,0,2,3,0,0,4,0,0,1,20
308,0,4,5,0,0,4,5,0,6,0,0,1,0,25
309,2,2,5,0,0,4,8,0,6,0,0,1,0,28
310,2,2,4,1,0,5,8,2,6,4,1,1,1,37
311,3,6,0,0,0,2,3,2,0,4,1,0,1,22
312,8,0,1,0,0,1,1,2,6,3,1,1,1,25
313,2,4,3,1,1,4,5,0,0,4,0,0,1,25
314,0,5,4,0,0,4,6,0,6,0,0,1,0,26
315,3,3,3,1,0,4,6,2,6,4,1,1,1,35
316,2,2,6,0,0,4,6,2,6,0,1,1,0,30
317,4,4,2,0,1,3,3,2,5,4,1,1,1,31
318,2,2,4,1,0,4,8,1,0,2,1,0,1,26
319,3,5,2,0,0,3,5,3,6,4,1,2,1,35
320,2,0,7,0,0,5,7,0,5,0,0,1,0,27
321,6,3,0,0,0,2,4,2,5,1,1,1,1,26
322,2,3,2,4,0,6,3,0,0,3,0,0,1,24
323,0,4,5,0,0,4,3,0,5,0,0,1,0,22
324,1,3,4,2,1,5,8,0,6,3,0,1,1,35
325,5,5,0,0,0,2,3,2,6,3,1,1,1,29
326,2,4,3,1,1,4,5,2,0,3,1,0,1,27
327,0,3,2,2,2,8,7,0,6,4,0,1,1,36
328,5,3,1,1,0,3,1,2,0,2,1,0,1,20
329,3,3,4,0,0,3,5,2,6,3,1,2,1,33
330,3,2,5,0,0,4,2,1,0,2,1,0,1,21
331,2,4,3,1,0,4,3,0,0,0,0,0,0,17
332,4,4,2,0,0,3,3,0,0,0,0,0,0,16
333,0,0,9,0,0,5,4,0,0,6,0,0,1,25
334,1,0,8,0,0,5,4,2,0,2,1,0,1,24
335,5,3,2,0,0,2,1,0,0,2,0,0,1,16
336,2,1,4,2,0,5,8,0,6,0,0,1,0,29
337,0,7,0,2,0,4,4,2,6,4,1,1,2,33
338,4,4,2,1,1,3,3,0,0,3,0,0,1,22
339,2,7,1,1,0,3,4,2,6,6,1,1,1,35
340,2,3,4,2,1,5,8,2,7,4,1,2,1,42
341,2,3,4,2,0,5,8,2,6,3,1,2,1,39
342,7,2,0,0,0,2,1,2,0,4,1,0,1,20
343,5,2,3,0,0,3,3,0,6,0,0,1,0,23
344,2,5,3,0,0,3,2,0,0,0,0,0,0,15
345,2,2,6,0,0,4,4,0,0,3,0,0,1,22
346,6,3,0,0,0,2,4,0,6,0,0,1,0,22
347,0,5,4,0,0,4,6,0,0,0,0,0,0,19
348,0,0,8,1,0,5,8,2,6,3,1,1,1,36
349,0,4,5,0,0,4,5,0,6,0,0,1,0,25
350,3,4,3,0,0,3,7,0,0,3,0,0,1,24
351,3,2,3,2,1,5,5,2,0,0,1,0,0,24
352,0,0,7,2,0,6,3,0,5,0,0,1,0,24
353,0,3,6,0,0,4,8,0,0,4,0,0,2,27
354,7,2,0,0,0,2,5,0,0,0,0,0,0,16
355,4,3,2,1,0,3,3,0,6,1,0,1,1,25
356,2,2,5,1,0,4,4,0,0,3,0,0,1,22
357,0,9,0,0,0,3,7,2,6,4,1,1,1,34
358,5,3,1,0,0,3,6,0,6,0,0,1,0,25
359,3,3,3,0,1,4,7,0,0,3,0,0,2,26
360,2,5,1,2,0,4,6,0,0,3,0,0,1,24
361,0,5,4,0,0,4,3,0,0,2,0,0,1,19
362,3,2,4,1,0,3,6,2,6,4,1,1,1,34
363,0,0,9,0,0,5,4,0,0,6,0,0,1,25
364,3,5,2,0,0,3,4,0,6,6,0,2,1,32
365,0,2,3,2,3,8,6,2,6,4,1,1,1,39
366,6,3,0,0,0,2,1,2,6,2,1,1,1,25
367,7,2,0,1,0,2,1,1,0,3,1,0,1,19
368,2,3,5,0,0,4,7,0,0,2,0,0,1,24
369,0,8,0,1,0,3,4,2,5,4,1,1,1,30
370,2,4,3,1,1,4,3,2,6,4,1,1,1,33
371,4,5,0,0,0,3,7,0,6,6,0,1,1,33
372,5,4,1,0,0,2,1,2,6,3,1,1,1,27
373,0,0,9,0,0,6,6,2,6,4,1,1,1,36
374,3,3,1,3,1,5,4,2,6,4,1,1,1,35
375,2,3,5,0,0,4,4,0,6,0,0,1,0,25
376,0,9,0,0,0,3,7,2,5,3,1,1,1,32
377,1,4,2,3,1,5,5,0,6,0,0,3,0,30
378,0,5,4,0,0,4,1,0,6,0,0,1,0,21
379,6,2,2,1,0,3,1,0,0,3,0,0,1,19
380,1,4,5,0,0,4,5,0,0,0,0,0,0,19
381,0,4,5,0,0,4,5,0,0,0,0,0,0,18
382,4,4,2,0,1,3,3,0,5,4,0,1,1,28
383,0,5,4,0,0,4,6,0,5,0,0,1,0,25
384,2,5,3,0,0,3,3,0,0,0,0,0,0,16
385,1,4,4,2,0,5,6,0,6,0,0,1,0,29
386,2,0,7,0,0,5,3,2,0,3,1,0,1,24
387,2,3,4,2,1,5,6,2,6,4,1,1,1,38
388,0,2,7,0,0,4,3,0,0,0,0,0,0,16
389,4,3,2,2,0,3,5,0,0,0,0,0,0,19
390,0,0,3,4,2,9,8,0,0,4,0,0,1,31
391,6,0,3,0,0,3,6,0,0,2,0,0,1,21
392,2,4,4,0,0,3,5,0,0,0,0,0,0,18
393,5,5,0,0,0,3,6,0,0,6,0,0,1,26
394,1,4,4,1,0,4,3,2,0,4,1,0,1,25
395,0,5,4,0,0,4,6,0,6,5,0,2,1,33
396,1,2,7,0,0,5,7,2,0,4,1,0,1,30
397,0,4,5,0,0,4,4,0,6,6,0,1,1,31
398,3,2,3,2,0,4,3,2,6,4,1,1,1,32
399,5,3,2,0,0,3,2,2,5,2,1,1,1,27
400,2,5,2,0,0,3,3,2,6,4,1,1,1,30
401,7,2,0,0,0,2,1,1,6,3,1,1,1,25
402,5,2,0,1,1,4,3,0,6,5,0,1,1,29
403,0,0,9,0,0,6,4,0,0,0,0,0,0,19
404,1,4,4,1,0,4,6,2,6,4,1,1,1,35
405,2,4,4,1,0,4,3,0,0,3,0,0,1,22
406,1,4,4,1,0,4,3,0,0,0,0,0,0,17
407,2,4,3,0,1,4,6,2,6,4,1,1,2,36
408,2,4,4,1,0,4,6,0,6,0,0,1,0,28
409,0,9,0,0,0,3,6,2,5,4,1,1,1,32
410,4,2,3,1,0,3,6,0,5,0,0,1,0,25
411,3,4,2,1,0,4,4,0,0,0,0,0,0,18
412,5,3,2,0,0,3,4,0,0,3,0,0,1,21
413,0,0,0,9,0,0,7,0,0,4,0,0,3,23
414,0,1,3,5,0,7,8,2,0,0,1,0,0,27
415,5,2,2,1,0,3,4,0,0,3,0,0,1,21
416,1,2,6,1,1,5,7,0,6,0,0,1,0,30
417,3,0,4,2,2,5,8,2,0,0,1,0,0,27
418,0,0,5,0,4,0,8,1,0,2,1,0,1,22
419,5,3,1,0,0,2,2,0,6,0,0,1,0,20
420,5,3,2,0,0,3,7,0,0,0,0,0,0,20
421,7,2,0,0,0,2,2,0,0,5,0,0,5,23
422,3,2,4,1,0,3,2,2,5,2,1,1,1,27
423,2,2,4,2,1,5,8,0,6,0,0,1,0,31
424,4,3,3,0,0,3,6,0,6,0,0,1,0,26
425,1,5,3,1,0,4,8,0,0,3,0,0,1,26
426,3,3,2,1,0,3,1,0,5,0,0,1,0,19
427,2,3,4,0,0,4,4,2,6,4,1,1,1,32
428,2,0,5,2,0,5,7,2,0,4,1,0,1,29
429,6,3,1,0,1,2,3,2,0,3,1,0,1,23
430,3,3,3,1,0,4,6,2,0,5,1,0,2,30
431,2,6,0,1,0,3,3,2,6,3,1,1,1,29
432,2,5,1,2,0,4,3,2,6,3,1,1,1,31
433,5,4,0,0,0,2,1,0,0,2,0,0,1,15
434,0,7,0,2,0,4,2,0,0,4,0,0,1,20
435,0,9,0,0,0,3,4,2,6,4,1,1,1,31
436,0,4,5,0,0,4,3,2,6,2,1,1,1,29
437,0,3,2,5,0,7,4,0,0,3,0,0,1,25
438,2,4,4,1,0,4,3,0,0,0,0,0,0,18
439,1,5,4,0,0,4,2,2,0,3,1,0,1,23
440,0,0,7,2,0,5,8,0,6,0,0,1,0,29
441,1,1,5,4,0,6,8,0,0,0,0,0,0,25
442,3,4,4,0,0,4,4,0,5,3,0,1,1,29
443,0,1,4,5,1,7,8,0,0,1,0,0,1,28
444,2,7,0,0,0,3,1,2,0,0,1,0,0,16
445,3,2,3,2,0,4,3,2,6,4,1,1,1,32
446,4,3,3,0,0,3,3,0,0,0,0,0,0,16
447,4,5,0,0,0,3,4,0,6,0,0,1,0,23
448,0,6,3,0,0,4,6,1,0,0,1,0,0,21
449,9,0,0,0,0,2,3,1,6,4,1,1,1,28
450,4,4,2,0,0,3,3,0,0,0,0,0,0,16
451,4,2,3,0,0,3,2,2,0,3,1,0,1,21
452,2,3,4,2,1,5,7,2,6,3,1,1,1,38
453,9,0,0,0,0,1,1,0,6,0,0,1,0,18
454,3,2,3,2,1,4,3,2,6,4,1,1,1,33
455,0,2,7,1,0,5,8,0,0,4,0,0,1,28
456,2,5,2,0,0,3,5,0,0,0,0,0,0,17
457,4,3,2,1,0,3,3,0,6,0,0,1,0,23
458,0,9,0,0,0,3,4,0,0,0,0,0,0,16
459,3,3,3,1,0,4,2,2,6,0,1,1,0,26
460,3,3,3,1,0,4,1,0,0,0,0,0,0,15
461,0,3,5,2,0,6,6,0,0,5,0,0,1,28
462,2,3,4,1,0,5,5,2,6,4,1,1,1,35
